ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,3.625884,0.6280589137543644,5.485323251209413,3.625884,3.625884,-0.5798169114836238,-0.5798169114836238,-0.5798169114836238,-0.8413673689883668,-0.8413673689883668,-0.8413673689883668,0.261550457504743,0.261550457504743,0.261550457504743,0.0,0.0,0.0,3.0460670885163763
2023-01-02,3.628677001980198,0.9603607458341109,5.892822000343762,3.628677001980198,3.628677001980198,-0.18629264774359966,-0.18629264774359966,-0.18629264774359966,-0.42305168953916994,-0.42305168953916994,-0.42305168953916994,0.23675904179557025,0.23675904179557025,0.23675904179557025,0.0,0.0,0.0,3.4423843542365984
2023-01-03,3.631470003960396,1.1831022390651615,6.194052535268212,3.631470003960396,3.631470003960396,0.039493324479789316,0.039493324479789316,0.039493324479789316,-0.1612730525315605,-0.1612730525315605,-0.1612730525315605,0.20076637701134986,0.20076637701134986,0.20076637701134986,0.0,0.0,0.0,3.6709633284401857
2023-01-04,3.6342630059405945,2.26413249483782,6.90221610477608,3.6342630059405945,3.6342630059405945,0.9199843456673827,0.9199843456673827,0.9199843456673827,0.7664214537505866,0.7664214537505866,0.7664214537505866,0.15356289191679623,0.15356289191679623,0.15356289191679623,0.0,0.0,0.0,4.554247351607978
2023-01-05,3.6370560079207923,1.5079815762353563,6.312885168631167,3.6370560079207923,3.6370560079207923,0.28653225867627874,0.28653225867627874,0.28653225867627874,0.19101719999938663,0.19101719999938663,0.19101719999938663,0.09551505867689222,0.09551505867689222,0.09551505867689222,0.0,0.0,0.0,3.923588266597071
2023-01-06,3.63984900990099,1.9006331492062782,6.975518639006349,3.63984900990099,3.63984900990099,0.8186674394040506,0.8186674394040506,0.8186674394040506,0.7913128876291105,0.7913128876291105,0.7913128876291105,0.027354551774940117,0.027354551774940117,0.027354551774940117,0.0,0.0,0.0,4.458516449305041
2023-01-07,3.6426420118811884,0.8397297573280244,5.582263335190025,3.6426420118811884,3.6426420118811884,-0.3729023903684173,-0.3729023903684173,-0.3729023903684173,-0.3230594303217028,-0.3230594303217028,-0.3230594303217028,-0.04984296004671451,-0.04984296004671451,-0.04984296004671451,0.0,0.0,0.0,3.269739621512771
2023-01-08,3.6454350138613867,0.28644314540205507,5.049728552972087,3.6454350138613867,3.6454350138613867,-0.9760561141873672,-0.9760561141873672,-0.9760561141873672,-0.8413673689865335,-0.8413673689865335,-0.8413673689865335,-0.13468874520083357,-0.13468874520083357,-0.13468874520083357,0.0,0.0,0.0,2.6693788996740198
2023-01-09,3.6482280158415845,0.6018839944261744,5.404626699286005,3.6482280158415845,3.6482280158415845,-0.6485724408347928,-0.6485724408347928,-0.6485724408347928,-0.42305168953812894,-0.42305168953812894,-0.42305168953812894,-0.2255207512966639,-0.2255207512966639,-0.2255207512966639,0.0,0.0,0.0,2.9996555750067917
2023-01-10,3.6510210178217823,0.8926022782685537,5.7711236468913345,3.6510210178217823,3.6510210178217823,-0.48172405516236044,-0.48172405516236044,-0.48172405516236044,-0.1612730525331939,-0.1612730525331939,-0.1612730525331939,-0.32045100262916654,-0.32045100262916654,-0.32045100262916654,0.0,0.0,0.0,3.169296962659422
2023-01-11,3.6538140199788125,1.525416622424166,6.487623099688104,3.6538140199788125,3.6538140199788125,0.3490021649049251,0.3490021649049251,0.3490021649049251,0.7664214537508983,0.7664214537508983,0.7664214537508983,-0.41741928884597346,-0.41741928884597346,-0.41741928884597346,0.0,0.0,0.0,4.002816184883738
2023-01-12,3.656607022135843,0.9332491201467025,5.790741290180112,3.656607022135843,3.656607022135843,-0.3232344105416803,-0.3232344105416803,-0.3232344105416803,0.19101720000017583,0.19101720000017583,0.19101720000017583,-0.514251610541856,-0.514251610541856,-0.514251610541856,0.0,0.0,0.0,3.3333726115941626
2023-01-13,3.6594000242928737,1.5178171007214054,6.3333683579518265,3.6594000242928737,3.6594000242928737,0.18259116634729297,0.18259116634729297,0.18259116634729297,0.7913128876301192,0.7913128876301192,0.7913128876301192,-0.6087217212828262,-0.6087217212828262,-0.6087217212828262,0.0,0.0,0.0,3.8419911906401665
2023-01-14,3.6621930264499043,0.12997611369286335,5.04831859479965,3.6621930264499043,3.6621930264499043,-1.0216734567728352,-1.0216734567728352,-1.0216734567728352,-0.3230594303241779,-0.3230594303241779,-0.3230594303241779,-0.6986140264486572,-0.6986140264486572,-0.6986140264486572,0.0,0.0,0.0,2.6405195696770694
2023-01-15,3.664986028606935,-0.18837639397933165,4.552384125698421,3.664986028606935,3.664986028606935,-1.62315343831014,-1.62315343831014,-1.62315343831014,-0.8413673689873243,-0.8413673689873243,-0.8413673689873243,-0.7817860693228158,-0.7817860693228158,-0.7817860693228158,0.0,0.0,0.0,2.041832590296795
2023-01-16,3.6677790307639655,-0.16477093556151728,4.803162884983839,3.6677790307639655,3.6677790307639655,-1.279280544248818,-1.279280544248818,-1.279280544248818,-0.42305168954221917,-0.42305168954221917,-0.42305168954221917,-0.8562288547065987,-0.8562288547065987,-0.8562288547065987,0.0,0.0,0.0,2.3884984865151475
2023-01-17,3.6705720329209957,0.34048272729647583,5.042851665397659,3.6705720329209957,3.6705720329209957,-1.0813963817437227,-1.0813963817437227,-1.0813963817437227,-0.16127305253152033,-0.16127305253152033,-0.16127305253152033,-0.9201233292122023,-0.9201233292122023,-0.9201233292122023,0.0,0.0,0.0,2.589175651177273
2023-01-18,3.6733650350780263,1.0482865802466916,5.814017217117441,3.6733650350780263,3.6733650350780263,-0.2054699994329505,-0.2054699994329505,-0.2054699994329505,0.766421453751132,0.766421453751132,0.766421453751132,-0.9718914531840825,-0.9718914531840825,-0.9718914531840825,0.0,0.0,0.0,3.4678950356450757
2023-01-19,3.676158037235057,0.48290566763689813,5.191507947087923,3.676158037235057,3.676158037235057,-0.8192232583936607,-0.8192232583936607,-0.8192232583936607,0.19101719999984018,0.19101719999984018,0.19101719999984018,-1.0102404583935007,-1.0102404583935007,-1.0102404583935007,0.0,0.0,0.0,2.856934778841396
2023-01-20,3.6789510393920875,0.9268370730214052,5.752257772041295,3.6789510393920875,3.6789510393920875,-0.24288619597886707,-0.24288619597886707,-0.24288619597886707,0.791312887629509,0.791312887629509,0.791312887629509,-1.0341990836083759,-1.0341990836083759,-1.0341990836083759,0.0,0.0,0.0,3.43606484341322
2023-01-21,3.6817445035609992,-0.24196587929445232,4.890294053186741,3.6817445035609992,3.6817445035609992,-1.3662042414083382,-1.3662042414083382,-1.3662042414083382,-0.3230594303219435,-0.3230594303219435,-0.3230594303219435,-1.0431448110863946,-1.0431448110863946,-1.0431448110863946,0.0,0.0,0.0,2.315540262152661
2023-01-22,3.6845379677299106,-0.6956936063693548,4.218331898514708,3.6845379677299106,3.6845379677299106,-1.8781887532909602,-1.8781887532909602,-1.8781887532909602,-0.8413673689881154,-0.8413673689881154,-0.8413673689881154,-1.0368213843028453,-1.0368213843028453,-1.0368213843028453,0.0,0.0,0.0,1.8063492144389504
2023-01-23,3.687331431898823,-0.14804240560662527,4.741155453820706,3.687331431898823,3.687331431898823,-1.438397852963369,-1.438397852963369,-1.438397852963369,-0.42305168953880407,-0.42305168953880407,-0.42305168953880407,-1.015346163424565,-1.015346163424565,-1.015346163424565,0.0,0.0,0.0,2.248933578935454
2023-01-24,3.6901248960677338,0.031978528042955714,4.916476575879667,3.6901248960677338,3.6901248960677338,-1.1404802148168949,-1.1404802148168949,-1.1404802148168949,-0.16127305252984672,-0.16127305252984672,-0.16127305252984672,-0.9792071622870482,-0.9792071622870482,-0.9792071622870482,0.0,0.0,0.0,2.5496446812508387
2023-01-25,3.692918360236646,0.9298561637310357,5.947337051300841,3.692918360236646,3.692918360236646,-0.1628284469982189,-0.1628284469982189,-0.1628284469982189,0.7664214537507601,0.7664214537507601,0.7664214537507601,-0.9292499007489792,-0.9292499007489792,-0.9292499007489792,0.0,0.0,0.0,3.530089913238427
