ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,28.196397,17.127997920307457,31.047139215255076,28.196397,28.196397,-4.269082130892192,-4.269082130892192,-4.269082130892192,-4.190690159362898,-4.190690159362898,-4.190690159362898,-0.07839197152929436,-0.07839197152929436,-0.07839197152929436,0.0,0.0,0.0,23.92731486910781
2023-01-02,28.181855260726074,22.435229933310193,35.455752376545654,28.181855260726074,28.181855260726074,0.806971883776584,0.806971883776584,0.806971883776584,1.6992627287582907,1.6992627287582907,1.6992627287582907,-0.8922908449817067,-0.8922908449817067,-0.8922908449817067,0.0,0.0,0.0,28.988827144502658
2023-01-03,28.167313521452147,21.196427810518443,34.055299396867646,28.167313521452147,28.167313521452147,-0.3417906507686901,-0.3417906507686901,-0.3417906507686901,1.3306298185788672,1.3306298185788672,1.3306298185788672,-1.6724204693475573,-1.6724204693475573,-1.6724204693475573,0.0,0.0,0.0,27.825522870683457
2023-01-04,28.15277178217822,19.739709944169103,33.680222120483755,28.15277178217822,28.15277178217822,-1.6817032389372097,-1.6817032389372097,-1.6817032389372097,0.7263168954919224,0.7263168954919224,0.7263168954919224,-2.408020134429132,-2.408020134429132,-2.408020134429132,0.0,0.0,0.0,26.47106854324101
2023-01-05,28.138230042904294,20.13719768870961,33.584813374916635,28.138230042904294,28.138230042904294,-1.2700343122942102,-1.2700343122942102,-1.2700343122942102,1.8195459699925,1.8195459699925,1.8195459699925,-3.0895802822867107,-3.0895802822867107,-3.0895802822867107,0.0,0.0,0.0,26.868195730610083
2023-01-06,28.123688303630363,18.755906784327692,32.3526928097319,28.123688303630363,28.123688303630363,-2.7558906658569375,-2.7558906658569375,-2.7558906658569375,0.9531213295390144,0.9531213295390144,0.9531213295390144,-3.709011995395952,-3.709011995395952,-3.709011995395952,0.0,0.0,0.0,25.367797637773425
2023-01-07,28.109146564356436,15.114615051753573,28.269159755625903,28.109146564356436,28.109146564356436,-6.597963423448194,-6.597963423448194,-6.597963423448194,-2.3381865830099273,-2.3381865830099273,-2.3381865830099273,-4.259776840438266,-4.259776840438266,-4.259776840438266,0.0,0.0,0.0,21.511183140908244
2023-01-08,28.09460482508251,12.498968840457307,25.738212380255927,28.09460482508251,28.09460482508251,-8.927665215908885,-8.927665215908885,-8.927665215908885,-4.190690159359948,-4.190690159359948,-4.190690159359948,-4.736975056548937,-4.736975056548937,-4.736975056548937,0.0,0.0,0.0,19.166939609173625
2023-01-09,28.080063085808582,18.146154906293205,31.402748227043478,28.080063085808582,28.080063085808582,-3.4381285069739014,-3.4381285069739014,-3.4381285069739014,1.699262728760615,1.699262728760615,1.699262728760615,-5.137391235734516,-5.137391235734516,-5.137391235734516,0.0,0.0,0.0,24.641934578834682
2023-01-10,28.065521346534656,17.531539085434776,30.467968957169095,28.065521346534656,28.065521346534656,-4.128867975327069,-4.128867975327069,-4.128867975327069,1.3306298185826657,1.3306298185826657,1.3306298185826657,-5.459497793909736,-5.459497793909736,-5.459497793909736,0.0,0.0,0.0,23.936653371207587
2023-01-11,28.05097960726073,15.923463619034111,29.440549214673695,28.05097960726073,28.05097960726073,-4.977100746049871,-4.977100746049871,-4.977100746049871,0.7263168954859952,0.7263168954859952,0.7263168954859952,-5.703417641535866,-5.703417641535866,-5.703417641535866,0.0,0.0,0.0,23.073878861210858
2023-01-12,28.03643786745109,16.987207874877477,30.850210858044406,28.03643786745109,28.03643786745109,-4.051302532841798,-4.051302532841798,-4.051302532841798,1.8195459700008818,1.8195459700008818,1.8195459700008818,-5.87084850284268,-5.87084850284268,-5.87084850284268,0.0,0.0,0.0,23.985135334609293
