ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,1.2860730999999999,-0.35984248801003454,2.4691566963888687,1.2860730999999999,1.2860730999999999,-0.20924492781026993,-0.20924492781026993,-0.20924492781026993,-0.08475584180504414,-0.08475584180504414,-0.08475584180504414,-0.12448908600522576,-0.12448908600522576,-0.12448908600522576,0.0,0.0,0.0,1.07682817218973
2023-01-02,1.2864086184158416,-0.5232813250457506,2.3451211946708233,1.2864086184158416,1.2864086184158416,-0.36607076223039176,-0.36607076223039176,-0.36607076223039176,-0.22320789404919547,-0.22320789404919547,-0.22320789404919547,-0.14286286818119628,-0.14286286818119628,-0.14286286818119628,0.0,0.0,0.0,0.9203378561854498
2023-01-03,1.286744136831683,0.32377220302519893,3.0638560979107603,1.286744136831683,1.286744136831683,0.41801767034412096,0.41801767034412096,0.41801767034412096,0.5794543121767101,0.5794543121767101,0.5794543121767101,-0.1614366418325892,-0.1614366418325892,-0.1614366418325892,0.0,0.0,0.0,1.704761807175804
2023-01-04,1.2870796552475248,-0.5809347967571442,2.17062656763163,1.2870796552475248,1.2870796552475248,-0.44934892502875723,-0.44934892502875723,-0.44934892502875723,-0.2697275195328598,-0.2697275195328598,-0.2697275195328598,-0.17962140549589745,-0.17962140549589745,-0.17962140549589745,0.0,0.0,0.0,0.8377307302187675
2023-01-05,1.2874151736633663,-0.21316175658722797,2.4934327673256007,1.2874151736633663,1.2874151736633663,-0.16055166502345652,-0.16055166502345652,-0.16055166502345652,0.036270780000079446,0.036270780000079446,0.036270780000079446,-0.196822445023536,-0.196822445023536,-0.196822445023536,0.0,0.0,0.0,1.12686350863991
2023-01-06,1.28775069173204,-0.20879598517595355,2.5343817515614773,1.28775069173204,1.28775069173204,-0.1788414982793089,-0.1788414982793089,-0.1788414982793089,0.03361376860006356,0.03361376860006356,0.03361376860006356,-0.2124552668793725,-0.2124552668793725,-0.2124552668793725,0.0,0.0,0.0,1.108909193452731
2023-01-07,1.288086209800714,-0.3493655912519619,2.331968146769927,1.288086209800714,1.288086209800714,-0.2976091120557049,-0.2976091120557049,-0.2976091120557049,-0.07164760538814399,-0.07164760538814399,-0.07164760538814399,-0.2259615066675609,-0.2259615066675609,-0.2259615066675609,0.0,0.0,0.0,0.990477097745009
2023-01-08,1.2884217278693877,-0.577174978015829,2.3101183536355734,1.2884217278693877,1.2884217278693877,-0.32158021726433084,-0.32158021726433084,-0.32158021726433084,-0.0847558418063158,-0.0847558418063158,-0.0847558418063158,-0.2368243754580151,-0.2368243754580151,-0.2368243754580151,0.0,0.0,0.0,0.9668415106050569
2023-01-18,1.291776910121021,-0.5711366863953853,2.281279317769335,1.291776910121021,1.291776910121021,-0.4098742467658632,-0.4098742467658632,-0.4098742467658632,-0.2697275195306042,-0.2697275195306042,-0.2697275195306042,-0.14014672723525895,-0.14014672723525895,-0.14014672723525895,0.0,0.0,0.0,0.8819026633551579
2023-01-19,1.2921124283461842,-0.15717945504674463,2.6336723122047148,1.2921124283461842,1.2921124283461842,-0.07442020746846975,-0.07442020746846975,-0.07442020746846975,0.03627077999957273,0.03627077999957273,0.03627077999957273,-0.11069098746804247,-0.11069098746804247,-0.11069098746804247,0.0,0.0,0.0,1.2176922208777146
2023-01-20,1.2924479465713477,-0.145417350627438,2.617449955576199,1.2924479465713477,1.2924479465713477,-0.045399706982789764,-0.045399706982789764,-0.045399706982789764,0.03361376859919914,0.03361376859919914,0.03361376859919914,-0.07901347558198889,-0.07901347558198889,-0.07901347558198889,0.0,0.0,0.0,1.2470482395885578
2023-01-21,1.292783464796511,-0.25814045397150537,2.6544692089631163,1.292783464796511,1.292783464796511,-0.11736028081413669,-0.11736028081413669,-0.11736028081413669,-0.07164760538956567,-0.07164760538956567,-0.07164760538956567,-0.04571267542457101,-0.04571267542457101,-0.04571267542457101,0.0,0.0,0.0,1.1754231839823743
2023-01-23,1.2934545010211862,-0.2662699389987321,2.604006062447234,1.2934545010211862,1.2934545010211862,-0.20004896939850905,-0.20004896939850905,-0.20004896939850905,-0.22320789405067534,-0.22320789405067534,-0.22320789405067534,0.023158924652166277,0.023158924652166277,0.023158924652166277,0.0,0.0,0.0,1.0934055316226772
